_id,name,sku,description,price,category,brand,stock,images[0],images[1],images[2],images[3],images[4],images[5],images[6],model3DUrl,dimensions.width,dimensions.height,dimensions.length,colors[0],colors[1],colors[2],materials[0],materials[1],materials[2],tags[0],tags[1],tags[2],averageRating,totalReviews,soldCount,createdAt,updatedAt,slug,isDeleted,__v,isFeatured
6933adafb53918b85561127a,Sofa Góc Lullaby,SF001,"Sofa góc Lullaby thiết kế hiện đại, bọc vải nỉ cao cấp, khung gỗ tự nhiên đã qua xử lý chống mối mọt.",15000000,693296dbba0c79a52537afd1,69329ddf63a83d44a1f5207c,9,https://res.cloudinary.com/drgho551x/image/upload/v1764945188/furniture-shop/images/crld8x0skjkryk3utbzh.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1764945194/furniture-shop/images/thir6c7dvatimkqnijlx.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1764945193/furniture-shop/images/gaixll4s5rqka0ex4qsb.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1764945192/furniture-shop/images/m7l39wx1q4idwgpvs1ej.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1764945195/furniture-shop/images/dvgz0mipbde7ysqhkahl.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1764945192/furniture-shop/images/j12gd3c5lhj2sruxiifl.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1764945193/furniture-shop/images/oetxh6nghkgplss3xhwa.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1764994117/sofa_zcsmxr.glb,160,85,200,Be sáng,Kem,,Vải nỉ,,,sofa,hiện đại,phòng khách,2.5,2,40,2025-12-06T04:14:39.727Z,2026-04-05T03:51:45.179Z,sofa-goc-lullaby,false,0,false
6933c4202ea2861093a39b34,Sofa Băng Da Bò Thật,SF002,"Sofa băng 3 chỗ ngồi bọc da bò Ý nhập khẩu, chân kim loại sơn tĩnh điện sang trọng.",28500000,693296dbba0c79a52537afd1,69329f50e26db821bb576aa3,0,https://res.cloudinary.com/drgho551x/image/upload/v1764999892/furniture-shop/images/kpuxgx6zl7rddbn6lum0.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1764999899/furniture-shop/images/k7kotitqmbi0scts80sj.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1764999898/furniture-shop/images/krsrkf3v14wbrcmyyax1.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1764999901/furniture-shop/images/s3bn5gc864hqqgnkbnwg.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1764999900/furniture-shop/images/vzq1ow2na7xkb7ifmttq.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1764999902/furniture-shop/images/iwztbh4t3tcsawdptfaw.jpg,, https://res.cloudinary.com/drgho551x/image/upload/v1765000058/low_poly_old_sofa_with_bake_normal_jh95kt.glb ,90,90,220,Nâu bò,Đen,,Da thật,Thép,,Sofa,Da thật,Sang trọng,3,2,41,2025-12-06T05:50:24.767Z,2026-04-05T03:51:45.179Z,sofa-bang-da-bo-that,false,0,false
6933c69f2ea2861093a39b3d,Sofa Giường Thông Minh,SF003,"Sofa có thể mở ra thành giường ngủ, giải pháp hoàn hảo cho căn hộ nhỏ.",8500000,693296dbba0c79a52537afd1,69329ddf63a83d44a1f5207c,12,https://res.cloudinary.com/drgho551x/image/upload/v1765001355/furniture-shop/images/p3rpwcd6q7zwugprljql.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765001366/furniture-shop/images/erlyg6uarr4bcmluqkzo.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765001368/furniture-shop/images/yhlnggfi9adpwymasf71.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765001369/furniture-shop/images/bvzgfdc7rlbda3s7ksax.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765001372/furniture-shop/images/mumtol6byflqwcsxufch.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765001372/furniture-shop/images/zreg7ygok4e1vivckt2m.jpg,,https://res.cloudinary.com/drgho551x/image/upload/v1765000058/low_poly_old_sofa_with_bake_normal_jh95kt.glb ,85,80,180,Xanh Navy,,,Vải bố,Khung gỗ,,Sofa bed,Thông minh,Nhỏ gọn,3,3,43,2025-12-06T06:01:03.379Z,2026-04-05T03:51:45.179Z,sofa-giuong-thong-minh,false,0,
6933cd1a2ea2861093a39b50,Sofa Đơn Thư Giãn,SF004,"Ghế sofa đơn kèm đôn gác chân, thiết kế ôm sát cơ thể giúp thư giãn tối đa.",4200000,693296dbba0c79a52537afd1,69329f50e26db821bb576aa3,18,https://res.cloudinary.com/drgho551x/image/upload/v1765002454/furniture-shop/images/gum1wzt2vn3k7ooy4koi.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765002452/furniture-shop/images/rtp0rww6hterspnolwgy.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765002452/furniture-shop/images/qhs076vmqmea3wzmco26.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765002452/furniture-shop/images/zftj6lpkysaqwakp9ydk.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765002453/furniture-shop/images/cqzmutmrub23riymuons.jpg,,,https://res.cloudinary.com/drgho551x/image/upload/v1766481350/compressed_mquuwi.glb,80,80,100,Be,Kem,Nâu,Nhung,Da thật,Gỗ,Sofa,Thư giãn,Đọc sách,4,1,55,2025-12-06T06:28:42.053Z,2026-04-05T03:51:45.179Z,sofa-don-thu-gian,false,0,true
6933cfb22ea2861093a39b5b,Bàn Trà Kính Tròn,BT001,"Bàn trà mặt kính cường lực, chân gỗ sang trọng.",2500000,693296f6ba0c79a52537afd9,69329f0de26db821bb576a9c,26,https://res.cloudinary.com/drgho551x/image/upload/v1765003147/furniture-shop/images/tc8rdxaov9yeymoeekwz.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765003147/furniture-shop/images/oz4vtunrar1rkkinsf6o.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765003149/furniture-shop/images/b1taczqa27rrrtegfdkm.jpg,,,,,https://res.cloudinary.com/drgho551x/image/upload/v1765003019/round_glass_table_meitn3.glb,80,40,80,Vàng,Nâu,,Kính cường lực,Gỗ,,Bàn trà,Hiện đại,Kính,5,1,47,2025-12-06T06:39:46.473Z,2026-04-05T03:51:45.179Z,ban-tra-kinh-tron,false,2,true
6933d31d2ea2861093a39b66,Giường Ngủ Gỗ Sồi,GN001,"Giường ngủ gỗ sồi phong cách Nhật Bản, thiết kế thấp sàn, tối giản.",8900000,69329715ba0c79a52537afe1,69329f50e26db821bb576aa3,27,https://res.cloudinary.com/drgho551x/image/upload/v1765004011/furniture-shop/images/xnjqsdkj69vdq6x1kvnm.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765004011/furniture-shop/images/iuwnufezs49s3udaj32t.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765004012/furniture-shop/images/ssh2ohjpr439brhdz8x0.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765004011/furniture-shop/images/yjstzwr2hxe6zrhjsb8b.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765004011/furniture-shop/images/sm76uapxefzmtgwfffqz.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765004011/furniture-shop/images/cxg1n6knrecfm0p6jxxx.jpg,,https://res.cloudinary.com/drgho551x/image/upload/v1765003828/bed_pemyom.glb,180,30,200,Nâu,Cam,,Gỗ tự nhiên,Gỗ sồi Nga,,Giường,Phòng ngủ,Gỗ,3,2,60,2025-12-06T06:54:21.449Z,2026-04-05T03:51:45.179Z,giuong-ngu-go-soi,false,0,true
6933d83cf17e1b6d5ec15b0b,Bộ Bàn Ăn 6 Ghế,BA001,"Bộ bàn ăn lớn cho gia đình, ghế ngồi êm ái, chắc chắn.",8900000,69329745ba0c79a52537afe9,69329f50e26db821bb576aa3,11,https://res.cloudinary.com/drgho551x/image/upload/v1765005255/furniture-shop/images/rwh9exvb3d9tcxu5fzez.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765005254/furniture-shop/images/yplozrb7bsypwxzve5yg.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1765005252/furniture-shop/images/lzb4bwjjjo0virw2bhqz.jpg,,,,,https://res.cloudinary.com/drgho551x/image/upload/v1766480505/compressed_cssttb.glb,80,75,160,Nâu,Đen,,Gỗ tự nhiên,Sắt,,Bộ bàn ăn,Gia đình,Bàn ăn lớn,2.5,2,46,2025-12-06T07:16:12.751Z,2026-04-05T03:51:45.179Z,bo-ban-an-6-ghe,false,0,true
6948c80e82c30577b2147244,Ghế Giám Đốc,GH001,"Mẫu ghế giám đốc bọc Da thật hoặc Da công nghiệp, PVC cao cấp, tay vịn và chân mẫu ghế giám đốc này được làm bằng gỗ tự nhiên có độ bền cao, chịu lực tốt. Ghế được trang bị 5 bánh xe ngay dưới các chân sao, giúp di chuyển dễ dàng.",4000000,694b5974a2fa3f24b36679e2,69329f0de26db821bb576a9c,10,https://res.cloudinary.com/drgho551x/image/upload/v1766378253/Gemini_Generated_Image_y9ade9y9ade9y9ad_pchlqj.png,https://res.cloudinary.com/dw8ek1lok/image/upload/v1766208759/k0pvfrf0hlywcg6ynwew.jpg,https://res.cloudinary.com/dw8ek1lok/image/upload/v1766208760/vr3esstyooeapxuxh3xw.jpg,https://res.cloudinary.com/drgho551x/image/upload/v1766378246/ht4eoswswhzyeivcsmka_opwm3m.jpg,,,,https://res.cloudinary.com/drgho551x/image/upload/v1766378544/furniture-shop/models/tqxw9ynuqsywksfv6b6w.glb,65,120,75,Đen,Nâu,,Da công nghiệp,PVC cao cấp,Gỗ sơn,Ghế giám đốc,sang trọng,văn phòng,4,1,51,2025-12-22T04:24:46.277Z,2026-04-05T03:51:45.179Z,ghe-giam-djoc,false,0,false
694b5499d8b937e516be976d,Ghế họp,GH002,"Ghế họp lãnh đạo cao cấp chân quỳ, thiết kế để mang lại phong thái quyền lực và thoải mái. Đệm tựa mút bọc Da thật, Da công nghiệp, hoặc PVC (tùy chọn). Tay ghế bằng gỗ sơn kết hợp thép mạ độc đáo. Khung chân quỳ làm bằng thép mạ sáng bóng, vững chắc, không rung lắc",2000000,694b5974a2fa3f24b36679e2,69329f0de26db821bb576a9c,15,https://res.cloudinary.com/dw8ek1lok/image/upload/v1766387049/xav2hemslhat2tg3mc0g.png,https://res.cloudinary.com/dw8ek1lok/image/upload/v1766209087/dnciisahf7urvzmoklgk.jpg,https://res.cloudinary.com/dw8ek1lok/image/upload/v1766209088/pbyff4ozovofrjteg6lb.jpg,https://res.cloudinary.com/dw8ek1lok/image/upload/v1766209090/afobmlrlorp5io2amp4e.jpg,,,,https://res.cloudinary.com/dw8ek1lok/image/upload/v1766385562/l7xhznrmemqheaxns5ma.glb,65,113,70,Đen,,,Da thật,Da công nghiệp,PVC,Ghế họp,Ghế da,Sang trọng,3,3,30,2025-12-24T02:48:57.099Z,2026-04-05T03:51:45.179Z,ghe-hop,false,0,false
694b56e3e66a5144f28b9e16,Ghế Xoay Công Thái Học,GH003,"Ghế xoay trưởng phòng lưng trung, đệm tựa liền khối bọc vải nỉ tạo sự thoải mái êm ái. Tay và chân ghế bằng nhựa. Chân có bánh xe di chuyển và bát có chức năng điều chỉnh độ cao cần hơi tiện lợi. Thường được sử dụng cho trưởng phòng và cấp quản lý",1500000,694b5974a2fa3f24b36679e2,69329f0de26db821bb576a9c,15,https://res.cloudinary.com/drgho551x/image/upload/v1766548909/furniture-shop/images/urrypjtd0vqbzeq9h1r5.jpg,https://res.cloudinary.com/dw8ek1lok/image/upload/v1766209506/oopiz6gfwzqtboore7qo.jpg,https://res.cloudinary.com/dw8ek1lok/image/upload/v1766209507/fq7uco99fof8wiosr9dt.jpg,https://res.cloudinary.com/dw8ek1lok/image/upload/v1766209508/ncdf3qetiqc5m79yelmm.jpg,,,,https://res.cloudinary.com/dw8ek1lok/image/upload/v1766386051/esljz2lsoxaqqsithu04.glb,60,100,58,Đen,Đỏ,,Vải nỉ,Nhựa,,Ghế trưởng phòng,Ghế xoay,,3,1,55,2025-12-24T02:58:43.468Z,2026-04-05T03:51:45.179Z,ghe-xoay-cong-thai-hoc,false,1,false
